127.0.0.1 - - [14/Jan/2023:20:50:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:50:40 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:51:01 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:51:37 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:52:13 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:52:35 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:53:01 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:53:02 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:53:02 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:53:50 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:53:57 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:53:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:55:15 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:55:22 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [14/Jan/2023:20:57:02 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:03:28 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:06:03 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:07:03 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:07:16 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:07:58 +0530] "GET /online/previousresult.jsp HTTP/1.1" 200 319
