127.0.0.1 - - [13/Jan/2023:21:03:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:03:44 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:03:44 +0530] "GET /online/four.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:04:02 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:04:02 +0530] "GET /online/four.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:04:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:04:23 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:05:09 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:06:26 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:06:45 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:07:17 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:07:54 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:08:45 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:09:07 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:09:19 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:09:31 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:10 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:22 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:34 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:35 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:48 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:48 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:10:49 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:11:16 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:11:33 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:12:56 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:13:28 +0530] "GET /online/updatesubject.jsp HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:13:28 +0530] "GET /online/one.jpg HTTP/1.1" 200 57225
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:14:03 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:14:07 +0530] "GET /online/updatesubject.jsp HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:14:20 +0530] "GET /online/updatesubject.jsp HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:14:20 +0530] "GET /online/one.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:14:50 +0530] "GET /online/search.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:14:50 +0530] "GET /online/images%20(1).jpg HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:15:25 +0530] "GET /online/search.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:15:25 +0530] "GET /online/images%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:15:36 +0530] "GET /online/search.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:15:36 +0530] "GET /online/images%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:15:46 +0530] "GET /online/search.jsp HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:16:56 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:16:56 +0530] "GET /online/two.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:18:18 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:18:51 +0530] "GET /online/findsubject?sname= HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:19:46 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:19:47 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:19:54 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:19:55 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:20:35 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:01 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:20 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:30 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:42 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:22:52 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:01 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:01 +0530] "GET /online/four.jpg HTTP/1.1" 200 19397
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:09 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:23:48 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:16 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:16 +0530] "GET /online/tree.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:25 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:25 +0530] "GET /online/tree.jpeg HTTP/1.1" 200 64905
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:44 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:27:44 +0530] "GET /online/tree.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:33:31 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:34:37 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:34:37 +0530] "GET /online/img.jpg HTTP/1.1" 200 9412
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:35:03 +0530] "GET /online/findsubject.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:35:03 +0530] "GET /online/img.jpg HTTP/1.1" 304 -
